container_id,container_sku,Type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,,,,,
116,40HCSDASBAL,Side Door Container,40HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
117,40HCSDWWBAL,Side Door Container,40HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
118,40HCSDCWBAL,Side Door Container,40HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
119,40HCSDCLBAL,Side Door Container,40HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
120,40HCSDBNBAL,Side Door Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
121,20DDASBAL,Double Door Container,20DC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
122,20DDWWBAL,Double Door Container,20DC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
123,20DDCWBAL,Double Door Container,20DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
124,20DDCLBAL,Double Door Container,20DC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
125,20DDBNBAL,Double Door Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
126,40HCDDASBAL,Double Door Container,40HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
127,40HCDDWWBAL,Double Door Container,40HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
128,40HCDDCWBAL,Double Door Container,40HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
129,40HCDDCLBAL,Double Door Container,40HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
130,40HCDDBNBAL,Double Door Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
131,20RFASBAL,Refrigerated Container,20DC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
132,20RFWWBAL,Refrigerated Container,20DC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
133,20RFCWBAL,Refrigerated Container,20DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
134,20RFCLBAL,Refrigerated Container,20DC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
135,20RFBNBAL,Refrigerated Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
136,40HCRFASBAL,Refrigerated Container,40HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
137,40HCRFWWBAL,Refrigerated Container,40HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
138,40HCRFCWBAL,Refrigerated Container,40HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
139,40HCRFCLBAL,Refrigerated Container,40HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
140,40HCRFBNBAL,Refrigerated Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
141,20OTASBAL,Open Top Container,20DC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
142,20OTWWBAL,Open Top Container,20DC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
143,20OTCWBAL,Open Top Container,20DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
144,20OTCLBAL,Open Top Container,20DC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
145,20OTBNBAL,Open Top Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
146,40HCOTASBAL,Open Top Container,40HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
147,40HCOTWWBAL,Open Top Container,40HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
148,40HCOTCWBAL,Open Top Container,40HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
149,40HCOTCLBAL,Open Top Container,40HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
150,40HCOTBNBAL,Open Top Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
161,20DCASCGY,Standard Container,20DC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
162,20DCWWCGY,Standard Container,20DC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
163,20DCCWCGY,Standard Container,20DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
164,20DCCLCGY,Standard Container,20DC,IICL,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
165,20DCBNCGY,Standard Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
166,20HCASCGY,Standard Container,20HC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
167,20HCWWCGY,Standard Container,20HC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
168,20HCCWCGY,Standard Container,20HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
169,20HCCLCGY,Standard Container,20HC,IICL,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
170,20HCBNCGY,Standard Container,20HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
171,40DCASCGY,Standard Container,40DC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
172,40DCWWCGY,Standard Container,40DC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
173,40DCCWCGY,Standard Container,40DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
174,40DCCLCGY,Standard Container,40DC,IICL,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
175,40DCBNCGY,Standard Container,40DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
176,40HCASCGY,Standard Container,40HC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
177,40HCWWCGY,Standard Container,40HC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
178,40HCCWCGY,Standard Container,40HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
179,40HCCLCGY,Standard Container,40HC,IICL,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
180,40HCBNCGY,Standard Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
181,45HCASCGY,Open Top Container,45HC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
182,45HCWWCGY,Standard Container,45HC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
183,45HCCWCGY,Standard Container,45HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
184,45HCCLCGY,Standard Container,45HC,IICL,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
185,45HCBNCGY,Standard Container,45HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
186,53HCASCGY,Open Top Container,53HC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
187,53HCWWCGY,Standard Container,53HC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
188,53HCCWCGY,Standard Container,53HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
189,53HCCLCGY,Standard Container,53HC,IICL,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
190,53HCBNCGY,Standard Container,53HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
191,20SDASCGY,Side Door Container,20DC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
192,20SDWWCGY,Side Door Container,20DC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
193,20SDCWCGY,Side Door Container,20DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
194,20SDCLCGY,Side Door Container,20DC,IICL,Calgary,51.04427,-114.062019,2025-05-30,1,GCE,T2C2S3,2025-05-30,,,,,,,,
