Country,City,Code,Depot Name,Address (Short),Latitude,Longitude,,
Turkey,Istanbul,ISTA,Arkas Logistics SA,"Indere Mevkii, Yesilbayir Koyu Yolu, Hadimkoy, 34867 Istanbul",41.118,28.6272,,
Brazil,Itajai,ITJD,Oceanic Logística Reprotuára,"Avenida Gov. Adolfo Konder 2500, Itajai, SC",-26.9272,-48.6606,,
Turkey,Izmir,IZMA,Arkas Logistics SA,"Mehmet Akif Ersoy Mah., Oteyaka II.Kume No: 53, Sutculer, Izmir",38.4681,27.2167,,
Turkey,Izmit,IZTA,ARKAS LOGISTIC SA. - Izmit - Korfez,"Güney Mah. Kent Cad. Cumhuriyet Bulvar?, Sumbul Sok. No: 18, Körfez",40.7667,29.7667,,
United States,Houston,HOURID,Integrated Industries Corp.,"7226 North Loop East, Houston TX 77028",29.8046,-95.2901,,
Indonesia,Jakarta,JKTA,P.T. Setia Putra Sejati,"JL Raya Cakung Cilincing No.22, Jakarta - Utara 10130",-6.1343,106.9319,,
Indonesia,Jakarta,JKTA11,PT Multi Bina Pura International,"JL Raya Cakung Cilincing KM 4, Utara, Jakarta 14260",-6.1531,106.9617,,
Indonesia,Jakarta,JKTB,P.T. Segara Pacific Maju,"JL Raya Cakung, Cilincing CK59, Jakarta 14130",-6.1523,106.9542,,
Indonesia,Jakarta,JKTGF,PT GFC INDONESIA TERMINAL (JAKARTA),"JI. Cakung Industri Selatan No.12, Cakung Cilincing, Jakarta 14140",-6.1748,106.9747,,
Indonesia,Jakarta,JKTH,PT. TUNGYA COLLINS TERMINAL,"JL Cakung Industri Selatan I No 12, Cakung Cilincing, Jakarta 14140",-6.1748,106.9747,,
Indonesia,Jakarta,JKTQ,PT Quad Kontena Logistics,"Jl. Gresik Blok C No1, KBN Marunda, Jakarta Utara, Jakarta 14150",-6.085,106.9441,,
South Africa,Johannesburg,JNBD,Southway Container Services Pty Ltd.,"587 Lower Main Reef Road - Cleveland, Johannesburg 2197",-26.2209,28.0996,,
South Africa,Johannesburg,JNBF,Logistix SA,"James Bright Avenue, Driehoek, Germiston, Johannesburg",-26.2156,28.1806,,
Malaysia,Pasir Gudang,JOHD,Eng Kong Container,"PLO 704, Jalan Keluli, Pasir Gudang Industrial Area, Johor",1.4514,103.9047,,
Malaysia,Pasir Gudang,JOHE,ICS Depot Services Sdn. Bhd.,"Plo 699 Jalan Keluli 8, Pasir Gudang, Johor",1.4549,103.903,,
Malaysia,Pasir Gudang,JOHF,SL Container Terminal - Functional Depot,"PLO 523, Jalan Keluli 3, Kawasan Perindustrian Pasir Gudang, Johor",1.4547,103.902,,
Malaysia,Pasir Gudang,JOHG,Wintop Container Sdn Bhd,"Lot PTD 222127, Jalan Nikel 3, Kawasan Perindustrian, Johor",1.4539,103.9005,,
Taiwan,Kaohsiung,KAO01,Tungya Transportation & Terminal - Kaohsiung,"NO.21, Tung Ya Road, Chlen Cheing Dist., Kaohsiung",22.6007,120.3152,,
Taiwan,Kaohsiung,KAOB,"Yu Fung Cntr Ent. Co., Ltd.","No. 389-1, Zhongmen Road, Linyuan District, Kaohsiung",22.5032,120.3885,,
Taiwan,Kaohsiung,KAOD,"Tai Yunnn Enterprise Co., Ltd.","1-1 Chi Chin 1st Rd, Chi Chin Chu, Kaohsiung",22.6138,120.2697,,
USA,Houston,HOUT,Global Container Industries,"7015 FM1942, Baytown TX 77521",29.8197,-94.9958,,
USA,Houston,HOUV,"Cotac USA, Inc.","9938 Chemical Road, Pasadena TX 77507",29.6315,-95.1707,,
USA,Indianapolis,INDA,ITS ConGlobal,"1420 W Troy Ave., Indianapolis IN 46221",39.7214,-86.1875,,
Taiwan,Keelung,KEE01,Tungya Transportation & Terminal - Keelung,"No.43-1, Wuxun St., Anle District, Keelung City 204",25.1376,121.7133,,
Pakistan,Karachi,KHIC,Cargo Support Services (Pvt),"TPX Yard (Plot No. D-4), Old Queens Road, Opp Behria Complex, Karachi",24.8506,67.0262,,
Japan,Kobe,KOBB,Furuya & Co.,"Port Island PC-14 Terminal 3-Banchi, 9-Chome, Minatojima, Kobe",34.6654,135.2251,,
Japan,Kobe,KOBC,"Kamigumi Co., Ltd.","PC-18 (West Gate), 8-14 Minatojima, Chuo-Ku, Kobe",34.6693,135.2271,,
Japan,Kobe,KOBD,"The Sumitomo Warehouse Co., Ltd.","KICT (Kobe International Container Terminal), 9-10, Minatojima, Kobe",34.6717,135.2247,,
Finland,Kotka,KTKA,Container-Depot Ltd Oy,"Merituulentie 424, Mussalo Container Terminal, Kotka",60.4268,26.8985,,
USA,Jacksonville,JAXA,ConGlobal Industries,"8831 Moncrief-Dinsmore Rd., Jacksonville FL 32219",30.4391,-81.7506,,
USA,Kansas City,KCTD,"TSL Terminals, Inc.","1157 South 12th Street, Kansas City KS 66105",39.085,-94.6269,,
Thailand,Laem Chabang,LCHB,Thai Eng Kong Container,"549/32 Moo 1, Tumbol Nongkham, Amphur Sriracha, Chonburi 20230",13.0754,100.956,,
Thailand,Laem Chabang,LCHC,Fortress Laem Chabang Co.,"99/8 Moo 3, Tumbon Bueng, Ampur Siracha, Chonburi 20230",13.0854,100.9737,,
Thailand,Laem Chabang,LCHE,"Reefer International CA., Ltd.","207/1 Moo9, Surasak, Sriracha 20110",13.1216,100.9569,,
Thailand,Laem Chabang,LCHF,"Srithai Freight Forwarder Co., Ltd.","719/3 Moo 1 Nongkham Siriracha, Chonburi 20280",13.1028,100.9511,,
Thailand,Laem Chabang,LCHG,Greating Fortune Container Service (Thailand),"23/67 Moo 5 T.Thungsukha Sriracha, Chonburi 20230",13.0798,100.9897,,
UK,Leeds,LDSD,Northern Containers Ltd.,"Haigh Road, Stourton, Leeds LS10 1RT",53.7718,-1.5087,,
Italy,Livorno,LEGC,Spinelli S.r.l.,"1 Via Jacoponi Vasco Natale, Livorno 57123",43.5567,10.3217,,
Italy,Livorno,LEGD,Auta Marocchi S.p.A.,"Via delle Colline 100, 57014 Guasticce (LI)",43.5887,10.392,,
Italy,Livorno,LEGE,Co.re.mas Polaris Italia Srl,"Via delle Colline 100, 57014 Guasticce (LI)",43.5887,10.392,,
France,Le Havre,LEH14,CCIS France - Le Havre,"Route Des Enterprises, 76700 Gonfreville l'Orcher, Le Havre",49.5048,0.1914,,
France,Le Havre,LEHC,Trailer & Container Service In - ZI Portuaire,"Parc des Alizes II, 76430 ZI Portuaire, Le Havre",49.4847,0.1386,,
France,Le Havre,LEHD,Arnal Le Havre,"Route de la plaine, 76700 Gonfreville L'Orcher, Le Havre",49.5133,0.2076,,
France,Le Havre,LEHE,Trailer & Container Service - Le Havre,"Quai de Garonne, Chaussee des Gares Maritimes, 76600 Le Havre",49.4937,0.1249,,
Portugal,Leixoes,LEXC,ALCONT,"Rua de Agra Nova, Vila do Conde 4485-040",41.3349,-8.7336,,
Portugal,Leixoes,LEXD,TRANSPORTES SARDA0 S.A.,"Alameda Infanta Mafalda, 118, 4455-852 Santa Cruz do Bispo, Matosinhos",41.1996,-8.7018,,
Costa Rica,Limon,LIOA,Universal Servicios a Contendo,"Zona Franca, Parque Industrial, Puerto Limon",9.9907,-83.0352,,
